,feature_name
0,艺术
1,文艺
2,书店
3,气息
4,艺术家
5,商场
6,雕塑
7,芳草地
8,厂房
9,涂鸦
10,咖啡馆
11,艺术品
12,购物中心
13,氛围
14,工业
15,咖啡
16,工厂
17,画廊
18,小店
19,作品
