,feature_name
0,排队
1,文物
2,天安门广场
3,国家
4,时间
5,历史
6,藏品
7,换票
8,展品
9,馆藏
10,综合性
11,志愿者
12,家具
13,天安门
14,青铜
15,精品
16,进馆
17,玉器
18,小时
19,建议
