,feature_name
0,水库
1,景区
2,项目
3,地方
4,北京
5,峡谷
6,密云水库
7,瀑布
8,黑龙潭
9,青龙峡
10,景色
11,玻璃
12,栈道
13,风景
14,大坝
15,竹筏
16,景点
17,冰灯
18,风景区
19,设施
