,feature_name
0,动物
1,动物园
2,项目
3,植物园
4,孩子
5,设施
6,植物
7,世界
8,欢乐谷
9,鸟巢
10,北京动物园
11,水立方
12,温室
13,过山车
14,小朋友
15,游乐园
16,跑步
17,樱桃沟
18,海洋
19,排队
