,feature_name
0,水立方
1,演唱会
2,鸟巢
3,五棵松
4,话剧
5,场馆
6,人艺
7,体育馆
8,夜景
9,篮球
10,中心
11,主场
12,国家
13,首钢
14,灯光
15,剧场
16,游泳馆
17,设施
18,颜色
19,体育场
