,feature_name
0,奶酪
1,双皮奶
2,冰激凌
3,花茶
4,绿茶
5,茶味
6,口味
7,茶叶
8,红豆
9,酸奶
10,原味
11,排队
12,老字号
13,甜筒
14,口感
15,茉莉花茶
16,茶庄
17,奶味
18,圆筒
19,前门
