,feature_name
0,包子
1,小吃
2,豆汁
3,炒肝
4,炸酱面
5,稻香村
6,烧麦
7,豌豆黄
8,糕点
9,焦圈
10,火烧
11,馄饨
12,猪肉
13,包子铺
14,鼓楼
15,三鲜
16,小吃店
17,小吃街
18,面茶
19,灌肠
