,feature_name
0,港式
1,煲仔饭
2,日昌
3,川菜
4,纸包
5,茶餐厅
6,甜品
7,等位
8,鸡翅
9,餐厅
10,水果
11,菠萝油
12,鹿港
13,榴莲
14,小吃
15,台湾
16,小时
17,四川
18,菠萝
19,菜品
