,feature_name
0,菜品
1,披萨
2,餐厅
3,奶酪
4,绿茶
5,环境
6,口味
7,冰激凌
8,外婆家
9,双皮奶
10,南京
11,花茶
12,排队
13,砂锅
14,甜品
15,等位
16,面包
17,港式
18,茶味
19,酸奶
