,feature_name
0,冰灯
1,延庆
2,白河
3,峡谷
4,漓江
5,电梯
6,冰雕
7,北京
8,古城
9,老板
10,游船
11,人们
12,城区
13,小时候
14,风光
15,停车场
16,门票
17,印象
18,温度
19,青山绿水
