,feature_name
0,品牌
1,商场
2,电影院
3,西直门
4,美食
5,餐饮
6,电影
7,地铁
8,高端
9,一体
10,牌子
11,号线
12,大牌
13,商圈
14,影院
15,奢侈品
16,购物
17,主题
18,酒店
19,时尚
