,feature_name
0,裤衩
1,餐厅
2,电视塔
3,世界
4,建筑
5,大楼
6,天气
7,地标
8,马蜂窝
9,玉渊潭公园
10,总部
11,中央
12,公司
13,北京城
14,蚂蜂
15,电视
16,写字楼
17,景点
18,全景
19,台址
