,feature_name
0,南京
1,北京
2,砂锅
3,特色
4,环境
5,菜品
6,酥皮
7,白肉
8,坛子
9,秘制
10,古色古香
11,宫廷
12,风格
13,烤鸭
14,小馆
15,老字号
16,中关村
17,有点
18,服务员
19,桌子
