,feature_name
0,购物
1,商场
2,东西
3,西单
4,品牌
5,地方
6,酒吧
7,衣服
8,艺术
9,小店
10,时尚
11,商业
12,教堂
13,年轻人
14,店铺
15,一条街
16,庙会
17,地铁
18,宜家
19,大栅栏
