,feature_name
0,博园
1,园林
2,特色
3,园子
4,红砖
5,建筑
6,博会
7,门票
8,自行车
9,地方
10,园区
11,石桥
12,永定河
13,艺术
14,花卉
15,鲜花
16,景色
17,建议
18,博物馆
19,停车场
