,feature_name
0,北京
1,味道
2,地方
3,感觉
4,烤鸭
5,特色
6,建筑
7,价格
8,环境
9,东西
10,故宫
11,中国
12,排队
13,门票
14,口味
15,有点
16,历史
17,时间
18,小吃
19,公园
