,feature_name
0,故宫
1,珍宝馆
2,首都博物馆
3,北京
4,钟表
5,展品
6,瓷器
7,文物
8,藏品
9,文化
10,特色
11,历史
12,先生
13,玉器
14,门票
15,家具
16,精品
17,志愿者
18,大街
19,展馆
