,feature_name
0,建筑
1,艺术
2,教堂
3,裤衩
4,水立方
5,世界
6,鸟巢
7,文艺
8,演唱会
9,电视塔
10,参观
11,话剧
12,餐厅
13,中国
14,中心
15,感觉
16,夜景
17,门票
18,五棵松
19,地标
