,poi_name,poi_porb
0,十三陵水库,0.7512211877459289
1,碓臼峪,0.5363109929695773
2,黄花城水长城,0.758095904054369
3,龙庆峡,0.9399142525845028
4,百里山水画廊-白河峡谷,0.5508219566185597
5,硅化木国家地质公园,0.6039047662725014
6,雁栖湖风景区,0.9023830453332408
7,雁栖湖游乐园,0.9371464558963056
8,青龙峡,0.7348707711955776
9,黑龙潭自然风景区,0.5903442141608474
10,金海湖风景区,1.0
11,神堂峪风景区,0.5059462112517789
12,密云水库,0.999999999999992
13,虎峪,0.5691301557355681
14,小汤山,0.8156636473365481
15,响水湖长城自然风景区,0.6736760762054496
16,潮白河,0.8735417077317394
17,怀柔水库,0.9999918141866668
18,珍珠湖,0.9459512644499212
19,青龙湖公园,0.7535578164611515
20,北京欢乐水魔方水上乐园,0.5208128898761166
21,上庄水库,0.6284997550968263
22,白羊沟风景区,0.4437918354868438
23,怀北国际滑雪场,0.6540701531533957
24,温都水城,0.4584956930139812
25,斋堂水库,0.5237820832540561
26,郁金香摩锐水世界,0.576848801498926
27,京都第一瀑,0.5361998258003913
28,陶然亭水上乐园,0.5940463687749488
29,京北第一漂,0.4922808384979245
30,十三陵水库-九龙游乐园,0.8880998297564734
