,word_name,word_porb
0,一分货,0.7947868373367574
1,一带,0.5933162196465295
2,一楼,0.32864698008900484
3,三顺,0.7947868373367574
4,上脑,0.7947868372035777
5,上菜,0.38906936029208455
6,下锅,0.7947868373367574
7,不太惯,0.5659490787454611
8,东安,0.7947868373367574
9,东安市场,0.762075092818026
10,东来顺,0.6952473594813448
11,个性,0.7947868373367574
12,中华,0.4547964602877858
13,中华民族,0.7947868373367574
14,中秋,0.794786837259016
15,主营,0.5685960999850177
16,乌鸡,0.716777766768153
17,云南,0.5677002963885066
18,五星,0.5475978094835148
19,产业,0.7947868373367574
20,产品,0.4050256832884462
21,京东,0.7023667468051233
22,京华,0.7947868373367575
23,人会,0.4385026334225888
24,人才,0.4453060001657735
25,人点,0.3794388311899358
26,人餐,0.6224174937124872
27,企业,0.5832739026938715
28,优秀,0.5242534142859354
29,优雅,0.6451211818307161
30,佐料,0.7947868373367574
31,作料,0.5659473039597049
32,保温,0.5260402398426514
33,俱佳,0.3775764855306769
34,偏贵,0.3505411316580171
35,全聚德,0.4867806098856389
36,公私合营,0.7947868373367574
37,内蒙,0.7537219853380017
38,冬夏,0.7947868373367575
39,冬季,0.7683593670403687
40,冬阴功,0.4838393227947546
41,冻豆腐,0.7947868373367574
42,刀工,0.7947868373367575
43,分量,0.3985452763474697
44,切片,0.5890062269085081
45,切肉,0.7947868373367575
46,初来,0.5659480637489723
47,功底,0.4649117462159954
48,加汤,0.7947868373367574
49,加点,0.7947868373367574
50,加麻加,0.5366706539068318
51,动作,0.4357479917661284
52,包房,0.7947868373367574
53,包菜,0.476764325601748
54,北口,0.4452156317922258
55,北季,0.6104253850631052
56,半小时,0.4365950282801705
57,半成品,0.7017146156298664
58,华联,0.6597594442784018
59,单点,0.6164237479286119
60,南口,0.5208247940487367
61,南城,0.7947868373367575
62,南宛,0.6104253854181361
63,南来顺,0.7947868373367574
64,南门,0.794778470595148
65,卷果,0.6503746572354239
66,厕所,0.7052414303805353
67,原价,0.657820580078176
68,原料,0.4482135621313516
69,原汁原味,0.563782255765671
70,去不去,0.5486911601568948
71,双人,0.5749183672763649
72,口吃,0.7947868373367574
73,古香古色,0.3826766103715821
74,合影,0.5844020990211778
75,名头,0.4539246423349544
76,名店,0.5905243264486609
77,后腿,0.7571910223919737
78,咸香,0.4064491023266336
79,品牌优势,0.7947868373367574
80,品质,0.6006160780823832
81,响亮,0.5371000976599613
82,哺是,0.6892531197420608
83,商城,0.4541697835318552
84,嗓子,0.43592933824171215
85,嘴里,0.3627627930769566
86,四川人,0.4505047246723141
87,四川火锅,0.568434474235295
88,四鲜,0.7947868373367574
89,回民,0.7397814025368915
90,回民区,0.6544368360103009
91,团团,0.7947868373367574
92,地位,0.7583604914880451
93,地段,0.4880808362797732
94,地雷,0.7947868373367575
95,均匀,0.7086179276000508
96,城史,0.7947868373367575
97,堂食,0.6544366422078602
98,声音,0.7947868373367574
99,多汁,0.7947868373367574
100,够吃,0.7947868373367574
101,大众化,0.4390280035425722
102,大厅,0.7385182610847463
103,大厨,0.4616552896855756
104,大师傅,0.5659485485297185
105,大栅栏,0.4513565784436792
106,大桌,0.7947868373367575
107,大白菜,0.5096714986471964
108,大盘,0.7947868373367575
109,大肉,0.7411497595623057
110,大锅,0.6646043042281318
111,天热,0.476764325601748
112,太太,0.5311269808457947
113,太棒了,0.4640244302074869
114,太阳,0.7947868373367574
115,头疼,0.43592919418802856
116,姑娘,0.7679997389330595
117,季是,0.4964601160217229
118,宏源,0.7947868373367574
119,客人,0.4101803710104569
120,客气,0.7947868373367575
121,宫格,0.4915647164007188
122,小份,0.3660713346951826
123,小哥,0.4688247334651828
124,小姐,0.696929000325246
125,小料,0.7183321594474931
126,小桌,0.7947868373367575
127,小火锅,0.41323829696869296
128,小点,0.7947868373367575
129,小盘,0.5823701112466585
130,小碟,0.7834450697327183
131,小肥羊,0.7947868373367574
132,小锅,0.7947868373367574
133,层次感,0.7947868373367575
134,工作日,0.5777014426247512
135,巨贵,0.7947868373367575
136,市口,0.4652965880543189
137,市场,0.5543540276827814
138,师傅,0.7572566743616882
139,干冷,0.7947868373367575
140,干燥,0.4389194052636961
141,干皮,0.7947868373367575
142,底料,0.546454469153087
143,店小二,0.7488771163750548
144,店长,0.7947868373367574
145,廊坊,0.5118060139750158
146,廊房,0.5659488820431667
147,建都,0.7947868373367575
148,当季,0.7947868373367575
149,很嫩,0.7343286031402928
150,很爽,0.4655797117776978
151,很糙,0.476764325601748
152,德华,0.4112887842433505
153,德山,0.7947868373367575
154,总部,0.7947868373367574
155,悠久,0.6578205800676585
156,情怀,0.7583604914880451
157,成品,0.7947868373367574
158,手工,0.7541285055858057
159,打包带,0.5388196545615705
160,挺嫩,0.5659489501285356
161,排号,0.4556223037621253
162,散丹,0.5254109265090987
163,文化名城,0.7947868373367575
164,新东安,0.7947868373367575
165,新东安市场,0.7947868373367575
166,早早,0.7947868373367575
167,时蔬,0.5659489972331899
168,明星,0.5844018230791457
169,是我太,0.5332373497061202
170,暖和,0.7654230893457942
171,服务质量,0.6784557771268148
172,木炭,0.7947868373367574
173,木须,0.6104253851995541
174,机器,0.6922780324300929
175,杂面,0.7474719602518212
176,条件,0.6544370382288857
177,标准,0.6157891173850906
178,核心,0.7947868373367574
179,核桃酪,0.7947868373367575
180,楼下,0.7890710629529775
181,槽子,0.4234731289116717
182,正合适,0.5659490820798121
183,正式,0.5477177281880033
184,步行街,0.4719902854825706
185,毛肚,0.4854353576239837
186,江南水乡,0.4234731289116717
187,汤底,0.7594006137190483
