,feature_name
0,动物
1,八达岭
2,八达岭长城
3,居庸关
4,慕田峪长城
5,滑车
6,好汉
7,水关
8,烽火台
9,猛兽
10,八楼
11,动物园
12,德胜门
13,巴士
14,上车
15,长城
16,古北口
17,城墙
18,敌楼
19,黑车
