,feature_name
0,公园
1,颐和园
2,门票
3,地方
4,园林
5,孩子
6,景色
7,景点
8,圆明园
9,昆明湖
10,风景
11,长廊
12,项目
13,皇家
14,建筑
15,动物
16,中国
17,什刹海
18,学校
19,大学
