,feature_name
0,天坛
1,定陵
2,皇帝
3,建筑
4,回音壁
5,圆明园
6,长陵
7,天坛公园
8,景点
9,地宫
10,陵墓
11,鼓楼
12,太庙
13,圜丘
14,大水法
15,回音
16,祭天
17,颐和园
18,皇后
19,大殿
