,feature_name
0,包子
1,包子铺
2,套餐
3,主席
4,猪肉
5,三鲜
6,驴肉
7,连锁店
8,早餐
9,快餐
10,凉菜
11,亲民
12,早饭
13,肉饼
14,上海
15,小米粥
16,虾仁
17,小菜
18,牛肉
19,猪肝
