,feature_name
0,长城
1,景区
2,风景
3,缆车
4,景色
5,爬山
6,八达岭
7,门票
8,小时
9,红叶
10,山顶
11,动物
12,香山
13,景点
14,水库
15,建议
16,停车场
17,游客
18,时间
19,地方
