,feature_name
0,西单
1,商业街
2,百货大楼
3,百货
4,西单商场
5,老牌
6,老字号
7,百货商场
8,特产
9,步行街
10,历史
11,游客
12,外地人
13,商场
14,商业
15,企业
16,一条街
17,集团
18,小吃
19,大厦
