,feature_name
0,故宫
1,神武门
2,钟表
3,珍宝馆
4,红墙
5,购票
6,皇宫
7,城墙
8,电视剧
9,现存
10,全部
11,样子
12,工作人员
13,游玩
14,闭馆
15,入口
16,现场
17,买票
18,天气
19,琉璃
