,feature_name
0,烧麦
1,稻香村
2,糕点
3,老字号
4,馄饨
5,味道
6,包子
7,天津
8,前门
9,价格
10,牛舌饼
11,服务员
12,三鲜
13,白菜
14,食品
15,老店
16,蛋糕
17,门店
18,口味
19,羊肉
