,feature_name
0,酒吧
1,三里屯
2,地方
3,酒吧街
4,时尚
5,购物
6,天幕
7,灯光
8,朋友
9,外国人
10,年轻人
11,夜景
12,很漂亮
13,音乐
14,潮流
15,国际
16,美女
17,感觉
18,品牌
19,一条街
