,feature_name
0,小吃
1,地方
2,小吃街
3,鲜鱼
4,东西
5,美食街
6,游客
7,大栅栏
8,美食
9,前门大街
10,蝎子
11,前门
12,摊位
13,特色
14,老字号
15,一条街
16,外地
17,外地人
18,专门
19,价格
