,feature_name
0,烤鸭
1,鸭子
2,烤鸭店
3,服务费
4,北京烤鸭
5,鸭架
6,茶馆
7,鸭肉
8,老舍
9,布鞋
10,椒盐
11,芥末
12,门店
13,油腻
14,大厅
15,入口
16,黄瓜
17,中国
18,文化
19,前门
