,feature_name
0,炒肝
1,炸酱面
2,鼓楼
3,灌肠
4,海碗
5,大肠
6,面条
7,炸酱
8,地道
9,拐弯
10,内脏
11,芥末
12,北冰洋
13,黄瓜
14,菜码
15,排队
16,味儿
17,饭点
18,杏仁豆腐
19,习惯
