,feature_name
0,豆汁
1,小吃
2,豌豆黄
3,焦圈
4,面茶
5,小吃店
6,艾窝窝
7,烧饼
8,炸糕
9,天坛
10,奶油
11,咸菜
12,磁器
13,北门
14,地道
15,品种
16,豆浆
17,圈儿
18,国营
19,习惯
