,feature_name
0,商场
1,西单
2,东西
3,购物
4,地方
5,品牌
6,衣服
7,价格
8,宜家
9,地铁
10,中关村
11,商品
12,购物中心
13,百货
14,环境
15,交通
16,年轻人
17,质量
18,化妆品
19,美食
