,feature_name
0,味道
1,烤鸭
2,口味
3,价格
4,小吃
5,排队
6,包子
7,环境
8,豆汁
9,服务员
10,老字号
11,菜品
12,炒肝
13,羊肉
14,等位
15,火锅
16,口感
17,餐厅
18,地道
19,牛肉
