,feature_name
0,宜家
1,免税店
2,家具
3,化妆品
4,家居
5,机场
6,瑞典
7,热狗
8,风格
9,餐厅
10,停车场
11,产品
12,饮料
13,国际
14,力度
15,排队
16,价格
17,体验
18,布置
19,用品
