,feature_name
0,颐和园
1,昆明湖
2,长廊
3,苏州街
4,宫门
5,西湖
6,导游
7,江南
8,皇家
9,故事
10,山水
11,游船
12,联票
13,湖水
14,路线
15,湖面
16,美景
17,亭子
18,风光
19,意思
