,feature_name
0,博物馆
1,孩子
2,电影
3,展厅
4,展品
5,小朋友
6,身份证
7,飞机
8,参观
9,文物
10,科技馆
11,军事
12,艺术
13,展馆
14,馆内
15,剧院
16,图书馆
17,坦克
18,首都博物馆
19,科学
